timestamp,road_id,vehicle_count,average_speed,congestion_level,weather_condition,day_of_week,holiday_flag,special_events
2024-01-01 00:00:00,R101,69,51.4,0,Cloudy,0,0,Festival
2024-01-01 01:30:00,R101,63,78.9,0,Cloudy,0,0,Match
2024-01-01 03:30:00,R101,64,53.1,0,Rainy,0,0,Concert
2024-01-01 05:00:00,R101,45,78.2,0,Cloudy,0,0,Match
2024-01-01 06:00:00,R101,55,66.3,0,Cloudy,0,0,Concert
2024-01-01 07:00:00,R101,426,29.2,1,Cloudy,0,0,Match
2024-01-01 08:00:00,R101,644,19.0,2,Cloudy,0,0,Concert
2024-01-01 08:30:00,R101,632,12.9,2,Clear,0,0,Match
2024-01-01 09:00:00,R101,479,32.8,1,Rainy,0,0,Concert
2024-01-01 10:00:00,R101,337,27.8,1,Foggy,0,0,Festival
2024-01-01 13:00:00,R101,271,55.9,0,Cloudy,0,0,Festival
2024-01-01 14:30:00,R101,174,64.6,0,Foggy,0,0,Match
2024-01-01 15:30:00,R101,270,48.8,0,Foggy,0,0,Concert
2024-01-01 16:00:00,R101,461,36.3,1,Cloudy,0,0,Match
2024-01-01 17:30:00,R101,683,23.2,2,Rainy,0,0,Festival
2024-01-01 19:00:00,R101,604,11.8,2,Clear,0,0,Concert
2024-01-01 19:30:00,R101,641,14.1,2,Foggy,0,0,Match
2024-01-01 20:00:00,R101,291,57.3,0,Foggy,0,0,Concert
2024-01-01 21:30:00,R101,280,53.9,0,Cloudy,0,0,Match
2024-01-01 23:30:00,R101,267,63.6,0,Rainy,0,0,Match
2024-01-02 01:30:00,R101,121,62.8,0,Cloudy,1,0,Festival
2024-01-02 03:30:00,R101,27,70.7,0,Rainy,1,0,Concert
2024-01-02 05:00:00,R101,0,48.3,0,Cloudy,1,0,Festival
2024-01-02 06:00:00,R101,55,74.6,0,Cloudy,1,0,Match
2024-01-02 07:00:00,R101,624,19.1,2,Foggy,1,0,Match
2024-01-02 07:30:00,R101,670,24.6,2,Rainy,1,0,Match
2024-01-02 08:00:00,R101,502,20.4,2,Cloudy,1,0,Festival
2024-01-02 08:30:00,R101,623,20.7,2,Clear,1,0,Match
2024-01-02 09:00:00,R101,487,39.9,1,Cloudy,1,0,Concert
2024-01-02 10:00:00,R101,406,37.7,1,Rainy,1,0,Match
2024-01-02 10:30:00,R101,364,44.6,1,Foggy,1,0,Match
2024-01-02 11:00:00,R101,203,60.2,0,Clear,1,0,Match
2024-01-02 11:30:00,R101,293,68.4,0,Clear,1,0,Festival
2024-01-02 12:30:00,R101,229,77.9,0,Clear,1,0,Match
2024-01-02 13:00:00,R101,291,58.0,0,Clear,1,0,Festival
2024-01-02 13:30:00,R101,221,60.0,0,Clear,1,0,Concert
2024-01-02 14:00:00,R101,327,42.1,1,Foggy,1,0,Festival
2024-01-02 15:00:00,R101,314,36.1,1,Foggy,1,0,Match
2024-01-02 16:00:00,R101,247,79.7,0,Rainy,1,0,Concert
2024-01-02 17:00:00,R101,598,20.6,2,Foggy,1,0,Festival
2024-01-02 18:30:00,R101,499,28.9,1,Cloudy,1,0,Match
2024-01-02 19:00:00,R101,576,23.4,2,Foggy,1,0,Concert
2024-01-02 19:30:00,R101,544,11.4,2,Foggy,1,0,Concert
2024-01-02 20:00:00,R101,255,61.3,0,Foggy,1,0,Match
2024-01-02 21:00:00,R101,203,57.6,0,Cloudy,1,0,Festival
2024-01-02 21:30:00,R101,179,54.5,0,Cloudy,1,0,Festival
2024-01-02 23:00:00,R101,275,78.9,0,Rainy,1,0,Match
2024-01-03 00:00:00,R101,101,53.8,0,Rainy,2,0,Festival
2024-01-03 00:30:00,R101,73,60.0,0,Cloudy,2,0,Festival
2024-01-03 02:00:00,R101,43,68.0,0,Clear,2,0,Match
2024-01-03 02:30:00,R101,67,64.8,0,Foggy,2,0,Festival
2024-01-03 03:00:00,R101,74,49.1,0,Clear,2,0,Concert
2024-01-03 04:00:00,R101,57,61.6,0,Clear,2,0,Match
2024-01-03 05:30:00,R101,78,75.0,0,Clear,2,0,Festival
2024-01-03 08:00:00,R101,596,13.1,2,Clear,2,0,Festival
2024-01-03 09:00:00,R101,695,15.0,2,Rainy,2,0,Festival
2024-01-03 12:00:00,R101,427,40.5,1,Cloudy,2,0,Concert
2024-01-03 12:30:00,R101,390,42.2,1,Clear,2,0,Concert
2024-01-03 13:00:00,R101,204,71.4,0,Clear,2,0,Match
2024-01-03 14:30:00,R101,349,41.9,1,Clear,2,0,Concert
2024-01-03 16:30:00,R101,244,72.3,0,Foggy,2,0,Festival
2024-01-03 17:00:00,R101,641,24.6,2,Rainy,2,0,Concert
2024-01-03 18:30:00,R101,648,23.0,2,Rainy,2,0,Concert
2024-01-03 19:30:00,R101,503,12.2,2,Clear,2,0,Festival
2024-01-03 20:00:00,R101,209,58.1,0,Clear,2,0,Match
2024-01-03 21:30:00,R101,219,76.7,0,Foggy,2,0,Match
2024-01-03 22:30:00,R101,220,71.0,0,Foggy,2,0,Festival
2024-01-04 00:00:00,R101,77,78.9,0,Clear,3,0,Concert
2024-01-04 01:30:00,R101,76,52.6,0,Foggy,3,0,Concert
2024-01-04 02:00:00,R101,42,69.4,0,Foggy,3,0,Concert
2024-01-04 02:30:00,R101,56,54.8,0,Cloudy,3,0,Match
2024-01-04 05:00:00,R101,93,54.5,0,Clear,3,0,Match
2024-01-04 05:30:00,R101,29,78.2,0,Cloudy,3,0,Festival
2024-01-04 06:00:00,R101,60,59.6,0,Cloudy,3,0,Match
2024-01-04 07:00:00,R101,596,24.8,2,Foggy,3,0,Festival
2024-01-04 08:00:00,R101,656,17.0,2,Foggy,3,0,Concert
2024-01-04 12:30:00,R101,181,64.3,0,Clear,3,0,Match
2024-01-04 13:00:00,R101,449,33.1,1,Cloudy,3,0,Concert
2024-01-04 13:30:00,R101,238,71.4,0,Clear,3,0,Match
2024-01-04 14:30:00,R101,432,37.2,1,Rainy,3,0,Match
2024-01-04 16:00:00,R101,253,63.3,0,Clear,3,0,Festival
2024-01-04 18:30:00,R101,624,18.8,2,Foggy,3,0,Match
2024-01-04 20:00:00,R101,237,52.8,0,Clear,3,0,Festival
2024-01-04 20:30:00,R101,252,51.2,0,Clear,3,0,Match
2024-01-04 21:00:00,R101,124,61.1,0,Rainy,3,0,Match
2024-01-04 22:00:00,R101,217,73.0,0,Clear,3,0,Match
2024-01-04 22:30:00,R101,204,50.5,0,Cloudy,3,0,Festival
2024-01-04 23:30:00,R101,269,52.3,0,Foggy,3,0,Match
2024-01-05 00:30:00,R101,28,50.2,0,Foggy,4,0,Concert
2024-01-05 01:00:00,R101,38,74.6,0,Foggy,4,0,Concert
2024-01-05 01:30:00,R101,64,57.4,0,Foggy,4,0,Concert
2024-01-05 05:00:00,R101,86,53.6,0,Foggy,4,0,Festival
2024-01-05 05:30:00,R101,95,77.7,0,Clear,4,0,Match
2024-01-05 07:00:00,R101,668,17.9,2,Cloudy,4,0,Festival
2024-01-05 08:00:00,R101,649,23.0,2,Rainy,4,0,Match
2024-01-05 08:30:00,R101,561,12.6,2,Foggy,4,0,Match
2024-01-05 10:30:00,R101,293,49.0,0,Rainy,4,0,Match
2024-01-05 11:00:00,R101,270,65.3,0,Foggy,4,0,Concert
2024-01-05 11:30:00,R101,281,63.6,0,Clear,4,0,Match
2024-01-05 13:30:00,R101,335,37.1,1,Foggy,4,0,Match
2024-01-05 15:00:00,R101,342,32.6,1,Clear,4,0,Match
2024-01-05 15:30:00,R101,257,49.9,0,Clear,4,0,Festival
2024-01-05 16:00:00,R101,242,50.7,0,Clear,4,0,Festival
2024-01-05 16:30:00,R101,192,68.3,0,Rainy,4,0,Match
2024-01-05 18:00:00,R101,581,18.1,2,Foggy,4,0,Concert
2024-01-05 18:30:00,R101,668,15.3,2,Foggy,4,0,Concert
2024-01-05 19:30:00,R101,508,16.5,2,Foggy,4,0,Concert
2024-01-05 21:00:00,R101,155,64.9,0,Rainy,4,0,Festival
2024-01-05 21:30:00,R101,251,57.0,0,Rainy,4,0,Festival
2024-01-05 22:00:00,R101,201,61.0,0,Cloudy,4,0,Concert
2024-01-06 00:00:00,R101,0,57.0,0,Rainy,5,0,Concert
2024-01-06 02:30:00,R101,62,47.4,0,Foggy,5,0,Festival
2024-01-06 03:00:00,R101,76,74.4,0,Foggy,5,0,Concert
2024-01-06 03:30:00,R101,29,53.3,0,Rainy,5,0,Match
2024-01-06 04:00:00,R101,61,74.3,0,Clear,5,0,Concert
2024-01-06 04:30:00,R101,75,53.0,0,Foggy,5,0,Festival
2024-01-06 05:30:00,R101,75,66.1,0,Foggy,5,0,Concert
2024-01-06 06:00:00,R101,25,77.2,0,Rainy,5,0,Concert
2024-01-06 09:00:00,R101,383,28.0,1,Rainy,5,0,Match
2024-01-06 09:30:00,R101,477,35.0,1,Clear,5,0,Festival
2024-01-06 10:30:00,R101,183,61.4,0,Clear,5,0,Festival
2024-01-06 12:00:00,R101,308,34.6,1,Rainy,5,0,Match
2024-01-06 12:30:00,R101,237,51.4,0,Clear,5,0,Concert
2024-01-06 13:30:00,R101,219,59.3,0,Foggy,5,0,Concert
2024-01-06 16:00:00,R101,164,79.6,0,Cloudy,5,0,Match
2024-01-06 16:30:00,R101,288,58.9,0,Clear,5,0,Match
2024-01-06 17:30:00,R101,298,48.0,0,Foggy,5,0,Festival
2024-01-06 18:00:00,R101,434,28.6,1,Cloudy,5,0,Festival
2024-01-06 18:30:00,R101,432,42.9,1,Foggy,5,0,Festival
2024-01-06 19:30:00,R101,488,30.4,1,Clear,5,0,Festival
2024-01-06 20:30:00,R101,177,49.9,0,Rainy,5,0,Match
2024-01-06 23:00:00,R101,110,73.8,0,Cloudy,5,0,Festival
2024-01-07 00:00:00,R101,33,62.4,0,Cloudy,6,0,Concert
2024-01-07 01:30:00,R101,30,59.7,0,Cloudy,6,0,Match
2024-01-07 02:30:00,R101,71,66.1,0,Rainy,6,0,Festival
2024-01-07 04:00:00,R101,67,78.4,0,Rainy,6,0,Festival
2024-01-07 06:30:00,R101,38,47.7,0,Rainy,6,0,Festival
2024-01-07 09:00:00,R101,319,41.1,1,Foggy,6,0,Festival
2024-01-07 10:30:00,R101,210,46.4,0,Rainy,6,0,Concert
2024-01-07 12:00:00,R101,236,49.0,0,Foggy,6,0,Concert
2024-01-07 12:30:00,R101,281,71.1,0,Cloudy,6,0,Concert
2024-01-07 15:30:00,R101,236,59.9,0,Cloudy,6,0,Match
