vehicle_count,average_speed,congestion_level,day_of_week,holiday_flag,hour_of_day,minute_of_hour,day_of_month,month,week_of_year,weekend_flag,hour_sin,hour_cos,dow_sin,dow_cos,vehicle_count_lag_1,vehicle_count_lag_2,vehicle_count_lag_3,vehicle_count_lag_6,vehicle_count_lag_12,rolling_avg_3,rolling_std_3,rolling_avg_6,rolling_std_6,rolling_avg_12,rolling_std_12,traffic_growth_rate,speed_drop_rate,volume_capacity_ratio,weather_Clear,weather_Cloudy,weather_Foggy,weather_Rainy,event_Concert,event_Festival,event_Match,road_id_enc
270,48.8,0,0,0,15,30,1,1,1,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0,174.0,271.0,337.0,644.0,69.0,260.6666666666667,81.98983676854911,422.8333333333333,193.98908904025163,271.5833333333333,228.66190139923864,0.5517241379310345,0.512,0.38571428571428573,False,False,True,False,True,False,False,0
461,36.3,1,0,0,16,0,1,1,1,0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,270.0,174.0,271.0,632.0,63.0,238.33333333333334,55.71654452075549,360.5,166.90686025445447,288.3333333333333,219.65772272222787,0.7074074074074074,0.637,0.6585714285714286,False,True,False,False,False,False,True,0
683,23.2,2,0,0,17,30,1,1,1,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,461.0,270.0,174.0,479.0,64.0,301.6666666666667,146.0969997410396,332.0,118.9991596608984,321.5,212.4709605826384,0.48156182212581344,0.768,0.9757142857142858,False,False,False,True,False,True,False,0
604,11.8,2,0,0,19,0,1,1,1,0,-0.9659258262890684,0.2588190451025203,0.0,1.0,683.0,461.0,270.0,337.0,45.0,471.3333333333333,206.6938154211038,366.0,181.91206666958624,373.0833333333333,219.30238913150916,-0.11566617862371889,0.882,0.8628571428571429,True,False,False,False,True,False,False,0
641,14.1,2,0,0,19,30,1,1,1,0,-0.9659258262890684,0.2588190451025203,0.0,1.0,604.0,683.0,461.0,271.0,55.0,582.6666666666666,112.52703378892261,410.5,204.6369956777122,419.6666666666667,201.9614424647047,0.061258278145695365,0.8590000000000001,0.9157142857142857,False,False,True,False,False,False,True,0
291,57.3,0,0,0,20,0,1,1,1,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,641.0,604.0,683.0,174.0,426.0,642.6666666666666,39.52636251077669,472.1666666666667,209.87369217380885,468.5,174.7889636624172,-0.5460218408736349,0.42700000000000005,0.4157142857142857,False,False,True,False,True,False,False,0
280,53.9,0,0,0,21,30,1,1,1,0,-0.7071067811865477,0.7071067811865474,0.0,1.0,291.0,641.0,604.0,270.0,644.0,512.0,192.28364465029262,491.6666666666667,179.92850431953985,457.25,181.97008994986956,-0.037800687285223365,0.461,0.4,False,True,False,False,False,False,True,0
267,63.6,0,0,0,23,30,1,1,1,0,-0.25881904510252157,0.9659258262890681,0.0,1.0,280.0,291.0,641.0,461.0,632.0,404.0,205.32169880458324,493.3333333333333,177.49441305761337,426.9166666666667,178.3115039032603,-0.04642857142857143,0.364,0.38142857142857145,False,False,False,True,False,False,True,0
121,62.8,0,1,0,1,30,2,1,1,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,267.0,280.0,291.0,683.0,479.0,279.3333333333333,12.013880860626726,461.0,200.71372648625706,396.5,171.13445006777562,-0.5468164794007491,0.37200000000000005,0.17285714285714285,False,True,False,False,False,True,False,0
27,70.7,0,1,0,3,30,2,1,1,0,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,121.0,267.0,280.0,604.0,337.0,222.66666666666666,88.28552165181635,367.3333333333333,207.4152035571806,366.6666666666667,186.00358419485718,-0.7768595041322314,0.293,0.03857142857142857,False,False,False,True,True,False,False,0
0,48.3,0,1,0,5,0,2,1,1,0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,27.0,121.0,267.0,641.0,271.0,138.33333333333334,120.9352443803432,271.1666666666667,209.49120904388005,340.8333333333333,210.42287869618139,-1.0,0.0,0.0,False,True,False,False,False,True,False,0
55,74.6,0,1,0,6,0,2,1,1,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.0,27.0,121.0,291.0,174.0,49.333333333333336,63.51640208114227,164.33333333333334,132.44420208777214,318.25,232.03178661554108,0.0,0.25400000000000006,0.07857142857142857,False,True,False,False,False,False,True,0
624,19.1,2,1,0,7,0,2,1,1,0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,55.0,0.0,27.0,280.0,270.0,27.333333333333332,27.501515109777767,125.0,121.92948781980488,308.3333333333333,241.12212421899153,10.345454545454546,0.809,0.8914285714285715,False,False,True,False,False,False,True,0
670,24.6,2,1,0,7,30,2,1,1,0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,624.0,55.0,0.0,267.0,461.0,226.33333333333334,345.48564852006996,182.33333333333334,236.46874353002053,337.8333333333333,257.12955112278723,0.07371794871794872,0.754,0.9571428571428572,False,False,False,True,False,False,True,0
502,20.4,2,1,0,8,0,2,1,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,670.0,624.0,55.0,121.0,683.0,449.6666666666667,342.5643491861541,249.5,310.8599363057259,355.25,272.82965881163415,-0.2507462686567164,0.7959999999999999,0.7171428571428572,False,True,False,False,False,True,False,0
623,20.7,2,1,0,8,30,2,1,1,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,502.0,670.0,624.0,27.0,604.0,598.6666666666666,86.81781691181425,313.0,318.188623303851,340.1666666666667,257.64345812605353,0.2410358565737052,0.7929999999999999,0.89,True,False,False,False,False,False,True,0
487,39.9,1,1,0,9,0,2,1,1,0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,623.0,502.0,670.0,0.0,641.0,598.3333333333334,86.6737176618916,412.3333333333333,303.75033607663164,341.75,259.4641768932834,-0.21829855537720708,0.601,0.6957142857142857,False,True,False,False,True,False,False,0
406,37.7,1,1,0,10,0,2,1,1,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,487.0,623.0,502.0,55.0,291.0,537.3333333333334,74.5676426698156,493.5,226.86978644147402,328.9166666666667,246.81773117878384,-0.16632443531827515,0.623,0.58,False,False,False,True,False,False,True,0
364,44.6,1,1,0,10,30,2,1,1,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,406.0,487.0,623.0,624.0,280.0,505.3333333333333,109.65552121682383,552.0,102.16653072312889,338.5,247.44347380214478,-0.10344827586206896,0.5539999999999999,0.52,False,False,True,False,False,False,True,0
203,60.2,0,1,0,11,0,2,1,1,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,364.0,406.0,487.0,670.0,267.0,419.0,62.521996129362066,508.6666666666667,119.23366415013294,345.5,246.8254812247272,-0.4423076923076923,0.39799999999999996,0.29,True,False,False,False,False,False,True,0
293,68.4,0,1,0,11,30,2,1,1,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,203.0,364.0,406.0,502.0,121.0,324.3333333333333,107.15565002991349,430.8333333333333,142.9257382932363,340.1666666666667,249.35437846688401,0.4433497536945813,0.31599999999999995,0.4185714285714286,True,False,False,False,False,True,False,0
